ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
INFO  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
WARN  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
INFO  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
INFO  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
WARN  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
WARN  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
INFO  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
INFO  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:28) - Info message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
WARN  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
WARN  | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
WARN  | ADMIN 2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:34) - Warn message
ERROR | USER  2019-12-08 23:58:21 | [main] robosh.LoggerExample (LoggerExample.java:31) - Error message
